,产权比率,保守速动比率,净利润同比增长率,净资产收益率,净资产收益率-摊薄,基本每股收益(元),存货周转天数(天),存货周转率(次),应收账款周转天数(天),扣非净利润同比增长率,每股净资产(元),每股未分配利润(元),每股经营现金流(元),每股资本公积金(元),流动比率,营业周期(天),营业总收入同比增长率,资产负债率,速动比率,销售净利率,销售毛利率,类别
1118,0.75,1.39,-0.37670000000000003,0.0078000000000000005,0.0078000000000000005,0.028,63.4,2.84,61.93,-0.24989999999999998,3.62,0.51,-0.08,1.84,1.32,125.33,0.273,0.4156,0.83,0.0088,0.14029999999999998,0
192,0.99,0.72,0.2728,0.0438,0.0431,0.4416,95.92,0.94,25.49,0.2663,10.14,5.19,0.43,3.58,1.53,121.41,0.1107,0.496,0.73,0.0758,0.3701,0
1439,1.51,0.43,0.2439,0.0906,0.0815,0.84,84.1,2.14,29.86,0.2016,14.12,6.91,1.55,5.83,0.96,113.96,0.2084,0.5758,0.43,0.061799999999999994,0.3231,0
970,1.03,1.01,0.3105,0.0432,0.0424,0.09,70.54,2.55,43.12,0.9801000000000001,2.07,0.55,0.15,0.06,1.81,113.66,-0.0535,0.5047,1.01,0.0481,0.2631,0
1468,1.16,1.45,0.669,0.0471,0.046,0.32,47.0,5.75,171.45,0.5932999999999999,7.05,2.94,-2.13,3.08,1.8,218.45,0.11560000000000001,0.5378000000000001,1.45,0.026600000000000002,0.1155,0
1141,1.07,0.86,0.5512,0.016200000000000003,0.016200000000000003,0.0677,57.25,1.57,59.71,0.5324,4.19,0.9,0.06,2.05,1.33,116.96,0.12,0.5024000000000001,0.86,0.021,0.1207,0
1397,0.62,1.42,0.08529999999999999,0.0689,0.0712,0.21,80.22,4.49,39.71,-0.5477000000000001,2.97,0.93,0.19,0.29,2.07,119.92,-0.2439,0.3797,1.42,0.0401,0.1937,0
932,4.7,0.56,5.4388,0.21780000000000002,0.33039999999999997,0.23,66.56,5.41,42.17,4.8479,0.7,-0.54,0.02,0.11,0.82,108.73,0.046900000000000004,0.809,0.56,0.07719999999999999,0.2384,0
638,1.39,1.58,0.4075,0.0652,0.0646,0.23,48.27,3.73,56.19,0.3774,3.57,0.55,0.12,1.86,1.44,104.46,0.3075,0.5684,0.95,0.025,0.0908,0
1207,1.77,0.8,0.4512,0.102,0.0978,0.42,90.94,2.97,132.83,0.4756,4.29,1.45,0.39,1.77,1.17,223.77,0.4817,0.5893999999999999,0.8,0.0836,0.2738,0
1076,1.49,1.23,0.3159,0.1433,0.1373,2.04,41.14,8.75,135.52,0.3152,14.85,5.38,0.09,8.0,1.53,176.66,0.24,0.5859000000000001,1.23,0.048499999999999995,0.1076,0
969,1.0,1.08,0.4119,0.016,0.016,0.03,62.86,1.43,44.18,44.9646,2.07,0.55,-0.03,0.06,1.84,107.04,-0.0587,0.4962,1.08,0.032799999999999996,0.2564,0
337,1.78,0.93,0.6487,0.1075,0.079,0.87,59.38,6.06,56.43,0.2229,7.55,2.38,-0.54,4.21,1.42,115.81,0.20120000000000002,0.6246,0.93,0.0199,0.08439999999999999,0
1148,0.49,1.67,0.5117,0.0732,0.0432,0.36,68.32,5.27,61.37,0.44939999999999997,6.6,1.08,0.76,4.33,2.31,129.69,0.053899999999999997,0.32799999999999996,1.67,0.026099999999999998,0.1427,0
130,1.1,1.48,0.2158,0.115,0.1015,0.637,276.67,0.98,50.82,0.2191,5.68,2.1,0.31,2.3,2.15,327.48,0.1859,0.5233,1.48,0.1611,0.3042,1
571,0.39,2.05,0.1444,0.0668,0.0475,0.24,46.65,7.72,61.9,0.157,6.39,1.85,-0.31,3.3,2.7,108.55,0.18359999999999999,0.282,2.05,0.0365,0.1268,0
711,0.98,1.07,0.021400000000000002,0.09570000000000001,0.0969,1.9381,32.11,8.41,45.13,0.0060999999999999995,20.0,15.04,0.01,3.11,1.99,77.25,0.0575,0.46880000000000005,1.68,0.0433,0.0774,0
348,2.56,0.94,1.1023,0.11199999999999999,0.10189999999999999,1.11,51.28,5.27,91.2,0.4512,10.01,4.61,-0.73,4.3,1.29,142.48,0.0946,0.6835,0.96,0.0323,0.0911,0
328,2.28,0.89,0.2691,0.0416,0.0404,0.23,51.89,5.2,56.65,0.30519999999999997,5.03,1.46,-2.0,2.42,1.32,108.54,0.1902,0.6864,0.89,0.0104,0.0719,0
1277,0.55,1.31,0.2809,0.0482,0.030299999999999997,0.16,84.04,1.07,16.22,0.307,8.48,1.85,0.49,5.52,2.36,100.26,0.2884,0.35350000000000004,1.31,0.065,0.4021,0
311,1.55,0.82,0.07490000000000001,0.0326,0.0327,0.089,48.11,3.74,16.66,0.09269999999999999,2.72,0.44,-0.63,1.24,1.47,64.77,0.17010000000000003,0.5997,0.82,0.0106,0.060700000000000004,0
