行业,股票,时间,产权比率,保守速动比率,偿债能力指标,净利润(元),净利润同比增长率,净资产收益率,净资产收益率-摊薄,基本每股收益(元),存货周转天数(天),存货周转率(次),应收账款周转天数(天),成长能力指标,扣非净利润(元),扣非净利润同比增长率,每股净资产(元),每股指标,每股未分配利润(元),每股经营现金流(元),每股资本公积金(元),流动比率,盈利能力指标,营业周期(天),营业总收入(元),营业总收入同比增长率,资产负债率,运营能力指标,速动比率,销售净利率,销售毛利率
医药行业,万泽股份,2014-12-31,1.46,0.21,   ,5123.44万,-66.08%,3.79%,4.03%,0.1000,"2,788.54",0.13,97.65,   ,3166.70万,-77.94%,2.56,   ,0.63,0.68,0.70,2.15,   ,"2,886.19",5.27亿,-53.08%,53.28%,   ,0.32,7.84%,52.42%
医药行业,万泽股份,2015-03-31,1.56,0.22,   ,1433.17万,-42.53%,1.12%,1.14%,0.0289,"3,092.78",0.03,8.68,   ,1275.11万,-7.44%,2.54,   ,0.60,0.09,0.70,2.07,   ,"3,101.47",1.39亿,38.89%,54.81%,   ,0.33,9.61%,47.93%
医药行业,万泽股份,2015-06-30,1.66,0.27,   ,4002.76万,-19.41%,3.14%,3.14%,0.0811,"4,118.99",0.04,46.41,   ,3945.51万,9.91%,2.60,   ,0.66,0.0100,0.70,1.99,   ,"4,165.41",2.71亿,1.82%,56.41%,   ,0.37,13.29%,59.55%
医药行业,万泽股份,2015-09-30,1.64,0.35,   ,4793.56万,-3.83%,3.76%,3.73%,0.0970,"2,893.89",0.09,60.56,   ,4640.83万,37.74%,2.61,   ,0.68,0.14,0.70,1.98,   ,"2,954.45",4.62亿,6.44%,56.30%,   ,0.45,8.96%,51.24%
医药行业,万泽股份,2015-12-31,1.24,0.44,   ,4642.80万,-9.38%,3.54%,3.54%,0.0900,"3,464.87",0.10,3.05,   ,-836.48万,-126.42%,2.67,   ,0.66,-0.02,0.75,2.26,   ,"3,467.92",4.92亿,-6.61%,49.60%,   ,0.56,7.69%,51.37%
医药行业,万泽股份,2016-03-31,1.34,0.31,   ,-2659.19万,-285.55%,-2.05%,-2.07%,-0.0541,"9,890.11",0.0091,22.69,   ,-2659.81万,-308.59%,2.61,   ,0.61,-0.39,0.75,2.53,   ,"9,912.8",2240.90万,-83.92%,51.32%,   ,0.44,-130.78%,13.79%
医药行业,万泽股份,2016-06-30,0.82,0.84,   ,8982.46万,124.41%,4.42%,6.52%,0.1827,"13,235.29",0.01,30.80,   ,-6096.46万,-254.52%,2.80,   ,0.79,-0.44,0.75,2.10,   ,"13,266.1",2583.64万,-90.48%,44.92%,   ,0.99,333.05%,21.87%
医药行业,万泽股份,2016-09-30,0.89,1.01,   ,6869.93万,43.32%,5.13%,5.07%,0.1397,"16,666.67",0.02,22.11,   ,-7967.53万,-271.68%,2.76,   ,0.75,-0.50,0.75,2.61,   ,"16,688.77",3134.05万,-93.21%,46.93%,   ,1.20,203.15%,22.57%
医药行业,万泽股份,2016-12-31,0.69,1.05,   ,7619.02万,64.10%,5.70%,5.50%,0.1500,"4,176.33",0.09,34.26,   ,-1.03亿,-1125.38%,2.82,   ,0.75,-0.42,0.80,2.28,   ,"4,210.6",1.95亿,-60.42%,40.34%,   ,1.23,36.74%,35.67%
医药行业,万泽股份,2017-03-31,0.89,0.92,   ,-2288.54万,13.94%,-1.67%,-1.68%,-0.0465,"75,000",0.0012,"1,003.34",   ,-2316.75万,12.90%,2.77,   ,0.70,0.35,0.80,1.97,   ,"76,003.34",162.26万,-92.76%,46.68%,   ,1.06,-1486.19%,39.61%
医药行业,万泽股份,2017-06-30,0.92,0.96,   ,875.51万,-90.25%,0.63%,0.64%,0.0178,"1,535.84",0.12,37.56,   ,846.01万,113.88%,2.79,   ,0.72,0.78,0.81,1.95,   ,"1,573.39",1.77亿,584.53%,47.49%,   ,1.09,2.03%,47.51%
医药行业,万泽股份,2017-09-30,0.62,0.69,   ,1309.73万,-80.94%,0.95%,0.95%,0.0266,"1,668.73",0.16,38.96,   ,1061.38万,113.32%,2.80,   ,0.73,0.60,0.81,2.27,   ,"1,707.68",2.42亿,670.85%,38.00%,   ,0.90,1.97%,47.64%
医药行业,万泽股份,2017-12-31,0.57,1.12,   ,8947.15万,17.43%,6.32%,5.87%,0.1800,"2,102.8",0.17,39.56,   ,-1.31亿,-27.90%,3.10,   ,0.88,0.14,0.81,2.21,   ,"2,142.36",2.55亿,31.06%,35.86%,   ,1.12,30.26%,47.66%
医药行业,万泽股份,2018-03-31,0.67,0.82,   ,3784.84万,265.38%,0.54%,0.54%,0.0800,"128,571.43",0.0007,606.88,   ,-2438.93万,-5.27%,3.12,   ,0.89,-0.60,0.81,1.96,   ,"129,178.31",1.11亿,59.27%,39.77%,   ,0.82,137.70%,80.29%
医药行业,万泽股份,2018-06-30,0.66,0.59,   ,7223.90万,725.11%,1.50%,1.52%,0.1469,"29,032.26",0.0062,364.00,   ,-8866.54万,-1148.04%,3.05,   ,0.87,-1.06,0.81,1.79,   ,"29,396.26",2.15亿,-94.17%,39.76%,   ,0.59,130.65%,58.94%
医药行业,万泽股份,2018-09-30,0.76,0.54,   ,1.26亿,860.80%,1.06%,1.08%,0.2559,"11,790.39",0.02,114.80,   ,-9733.33万,-1017.05%,3.04,   ,0.86,-1.07,0.81,1.73,   ,"11,905.19",3.72亿,-83.84%,43.08%,   ,0.54,3.49%,59.76%
医药行业,万泽股份,2018-12-31,0.69,0.58,   ,1.45亿,61.95%,3.97%,3.99%,0.2946,"2,258.47",0.16,20.41,   ,-5214.25万,60.23%,3.12,   ,0.95,-0.22,0.81,1.81,   ,"2,278.88",7.06亿,1.29%,40.95%,   ,0.58,16.47%,51.63%
医药行业,万泽股份,2019-03-31,1.41,1.11,   ,1919.56万,-49.28%,2.15%,2.12%,0.0390,"2,903.23",0.03,35.52,   ,880.81万,136.11%,1.84,   ,0.42,-0.39,0.07,1.41,   ,"2,938.75",1.29亿,15.37%,58.88%,   ,1.11,5.08%,89.52%
医药行业,万泽股份,2019-06-30,1.13,0.91,   ,3490.49万,-51.68%,2.56%,3.52%,0.0710,"2,479.34",0.07,37.44,   ,1707.97万,119.26%,2.02,   ,1.02,-0.15,--,1.25,   ,"2,516.78",2.56亿,18.84%,52.90%,   ,0.91,7.91%,87.66%
医药行业,万泽股份,2019-09-30,0.92,1.27,   ,8135.54万,-35.35%,6.47%,7.84%,0.1654,"2,436.82",0.11,38.96,   ,3938.93万,140.47%,2.11,   ,1.11,-0.32,--,1.70,   ,"2,475.78",4.01亿,7.53%,48.02%,   ,1.27,15.90%,87.97%
医药行业,万泽股份,2019-12-31,1.18,0.80,   ,7067.56万,-51.23%,5.93%,7.46%,0.1437,"2,340.7",0.15,38.03,   ,243.81万,104.68%,1.93,   ,0.93,0.32,--,1.22,   ,"2,378.73",5.49亿,-22.29%,54.04%,   ,0.95,9.47%,87.94%
医药行业,万泽股份,2020-03-31,1.22,0.95,   ,4512.63万,135.09%,4.65%,4.54%,0.0918,174.83,0.51,63.30,   ,3438.75万,290.41%,2.02,   ,1.02,0.22,--,1.12,   ,238.12,1.69亿,31.67%,55.02%,   ,0.95,26.55%,87.32%
医药行业,万泽股份,2020-06-30,1.10,1.02,   ,4905.29万,40.53%,5.04%,5.04%,0.0997,254.13,0.71,81.64,   ,319.14万,-81.31%,1.98,   ,0.98,-0.0100,--,1.25,   ,335.77,2.31亿,-9.64%,52.38%,   ,1.02,19.67%,85.69%
