行业,股票,时间,产权比率,保守速动比率,偿债能力指标,净利润(元),净利润同比增长率,净资产收益率,净资产收益率-摊薄,基本每股收益(元),存货周转天数(天),存货周转率(次),应收账款周转天数(天),成长能力指标,扣非净利润(元),扣非净利润同比增长率,每股净资产(元),每股指标,每股未分配利润(元),每股经营现金流(元),每股资本公积金(元),流动比率,盈利能力指标,营业周期(天),营业总收入(元),营业总收入同比增长率,资产负债率,运营能力指标,速动比率,销售净利率,销售毛利率
医药行业,ST太安,2007-12-31,0.72,1.05,   ,3070.52万,--,35.08%,23.79%,0.4900,83.68,4.30,69.39,   ,3052.29万,--,1.72,   ,0.34,0.16,0.34,1.34,   ,153.07,1.83亿,--,41.27%,   ,1.05,16.59%,37.79%
医药行业,ST太安,2008-12-31,0.42,1.97,   ,3828.54万,24.69%,25.83%,22.88%,0.5100,65.63,5.49,61.53,   ,3769.80万,23.51%,2.23,   ,0.81,0.29,0.34,2.74,   ,127.16,2.44亿,33.23%,28.83%,   ,1.97,16.21%,38.64%
医药行业,ST太安,2009-03-31,--,--,   ,996.71万,--,--,--,0.1300,--,--,--,   ,--,--,--,   ,--,--,--,--,   ,--,5327.55万,--,--,   ,--,18.62%,38.65%
医药行业,ST太安,2009-06-30,--,--,   ,1282.78万,--,7.38%,--,0.1700,--,--,--,   ,1219.78万,--,--,   ,--,0.02,--,--,   ,--,1.15亿,--,--,   ,--,11.16%,38.38%
医药行业,ST太安,2009-09-30,--,--,   ,3120.74万,--,--,--,0.4200,--,--,--,   ,--,--,--,   ,--,--,--,--,   ,--,1.97亿,--,--,   ,--,15.84%,39.20%
医药行业,ST太安,2009-12-31,0.47,1.76,   ,5389.07万,40.76%,27.74%,24.36%,0.7200,71.06,5.07,64.94,   ,5198.56万,37.90%,2.95,   ,1.47,0.63,0.34,2.38,   ,136.01,2.88亿,18.28%,32.06%,   ,1.76,18.67%,38.85%
医药行业,ST太安,2010-03-31,0.45,1.58,   ,1193.43万,19.74%,--,5.12%,0.1600,120.03,0.75,95.79,   ,--,--,3.11,   ,1.63,-0.43,0.34,2.39,   ,215.82,5829.47万,9.42%,30.80%,   ,1.58,20.47%,38.94%
医药行业,ST太安,2010-06-30,0.13,8.82,   ,1505.63万,17.37%,6.58%,1.64%,0.2000,118.42,1.52,88.26,   ,1370.80万,12.38%,9.17,   ,1.25,-0.13,6.82,9.54,   ,206.68,1.27亿,11.11%,11.54%,   ,8.82,11.83%,38.83%
医药行业,ST太安,2010-09-30,0.03,18.96,   ,3494.68万,11.98%,7.50%,3.73%,0.4200,117.84,2.29,83.56,   ,3402.52万,--,9.37,   ,1.43,-0.13,6.82,25.07,   ,201.39,2.16亿,9.76%,3.29%,   ,18.96,16.19%,39.68%
医药行业,ST太安,2010-12-31,0.02,25.64,   ,5644.90万,4.75%,9.46%,5.81%,0.6500,150.38,2.39,69.19,   ,5359.99万,3.11%,9.72,   ,1.64,-0.36,6.95,33.84,   ,219.57,3.14亿,8.91%,2.10%,   ,25.64,17.98%,39.72%
医药行业,ST太安,2011-03-31,0.01,35.42,   ,1217.82万,2.04%,1.24%,1.23%,0.1200,355.17,0.25,106.57,   ,1094.33万,--,9.86,   ,1.76,-0.68,6.97,52.50,   ,461.74,5967.26万,2.36%,1.25%,   ,35.42,20.62%,40.38%
医药行业,ST太安,2011-06-30,0.04,8.72,   ,2088.61万,38.72%,2.13%,2.10%,0.2100,329.43,0.55,83.67,   ,1916.73万,39.83%,9.93,   ,1.84,-1.53,6.95,15.74,   ,413.10,1.56亿,22.77%,4.28%,   ,8.72,13.36%,41.49%
医药行业,ST太安,2011-09-30,0.26,2.09,   ,4587.89万,31.28%,4.66%,4.74%,0.4600,315.53,0.86,69.89,   ,4358.66万,28.10%,9.68,   ,1.59,-1.55,6.95,3.53,   ,385.43,2.88亿,33.28%,20.45%,   ,2.09,15.94%,41.80%
医药行业,ST太安,2011-12-31,0.39,1.02,   ,7415.26万,31.36%,7.35%,7.44%,0.7400,326.12,1.10,74.92,   ,7183.36万,34.02%,9.96,   ,1.78,-1.12,6.95,2.06,   ,401.04,4.17亿,32.90%,27.55%,   ,1.02,17.77%,42.42%
医药行业,ST太安,2012-03-31,0.36,0.89,   ,1589.82万,30.55%,1.58%,1.57%,0.1600,534.12,0.17,110.85,   ,1580.41万,44.42%,10.12,   ,1.95,0.31,6.94,1.97,   ,644.98,9268.59万,55.32%,26.20%,   ,0.89,16.42%,43.48%
医药行业,ST太安,2012-06-30,0.36,0.83,   ,2820.92万,35.06%,2.79%,2.79%,0.2800,488.07,0.37,103.35,   ,2804.77万,46.33%,10.24,   ,2.07,0.49,6.95,1.94,   ,591.42,2.04亿,30.81%,26.45%,   ,0.83,13.21%,43.60%
医药行业,ST太安,2012-09-30,0.42,0.87,   ,6018.34万,31.18%,5.86%,5.70%,0.6000,431.10,0.63,96.69,   ,5293.95万,21.46%,10.56,   ,2.39,0.55,6.95,1.92,   ,527.80,3.51亿,22.13%,29.53%,   ,0.87,17.03%,44.37%
医药行业,ST太安,2012-12-31,0.14,4.57,   ,8805.35万,18.75%,4.87%,4.76%,0.4400,428.11,0.84,91.63,   ,8011.28万,11.53%,13.32,   ,1.86,0.44,10.24,6.81,   ,519.74,5.18亿,24.08%,12.13%,   ,4.57,17.47%,46.03%
医药行业,ST太安,2013-03-31,0.15,3.42,   ,2002.99万,25.99%,1.08%,1.08%,0.1400,629.37,0.14,120.84,   ,1946.26万,23.15%,13.40,   ,1.94,-0.16,10.24,5.86,   ,750.21,1.12亿,20.47%,12.72%,   ,3.42,19.16%,50.57%
医药行业,ST太安,2013-06-30,0.19,2.68,   ,3975.20万,40.92%,2.13%,2.11%,0.1400,428.98,0.42,101.52,   ,3938.03万,40.41%,6.77,   ,0.94,-0.17,4.72,4.54,   ,530.50,2.87亿,40.52%,15.41%,   ,2.68,14.61%,41.63%
医药行业,ST太安,2013-09-30,0.22,2.14,   ,9335.82万,55.12%,4.93%,4.82%,0.3400,393.64,0.69,94.59,   ,9247.57万,74.68%,6.96,   ,1.13,-0.50,4.72,3.81,   ,488.23,5.29亿,50.48%,17.47%,   ,2.14,18.42%,42.45%
医药行业,ST太安,2013-12-31,0.26,1.40,   ,1.33亿,50.93%,6.95%,6.73%,0.2400,361.92,0.99,92.56,   ,1.30亿,62.08%,7.10,   ,1.25,-0.51,4.72,2.94,   ,454.48,7.85亿,51.61%,20.12%,   ,1.40,17.49%,41.33%
医药行业,ST太安,2014-03-31,0.25,1.29,   ,3015.80万,50.57%,1.52%,1.50%,0.1100,533.81,0.17,132.92,   ,2908.66万,49.45%,7.21,   ,1.36,-0.07,4.72,2.87,   ,666.73,1.72亿,54.13%,19.75%,   ,1.29,18.69%,41.31%
医药行业,ST太安,2014-06-30,0.32,0.89,   ,5974.41万,50.29%,2.98%,2.97%,0.1100,395.95,0.45,101.72,   ,5800.51万,47.29%,3.62,   ,0.69,-0.14,1.86,2.31,   ,497.68,4.44亿,54.53%,23.74%,   ,0.89,14.29%,35.64%
医药行业,ST太安,2014-09-30,0.11,3.52,   ,1.37亿,46.51%,6.20%,3.74%,0.2400,383.80,0.70,85.36,   ,1.35亿,45.67%,5.07,   ,0.64,-0.10,3.37,7.80,   ,469.15,8.01亿,51.45%,9.49%,   ,3.52,18.16%,38.78%
医药行业,ST太安,2014-12-31,0.19,1.69,   ,1.86亿,40.19%,8.72%,5.03%,0.3000,475.18,0.76,71.29,   ,1.79亿,37.65%,5.13,   ,0.70,-0.38,3.37,4.90,   ,546.48,12.28亿,56.35%,16.00%,   ,1.69,15.67%,37.41%
医药行业,ST太安,2015-03-31,0.19,1.98,   ,3469.93万,15.06%,0.93%,0.92%,0.0500,605.65,0.15,70.01,   ,3420.14万,17.58%,5.17,   ,0.72,-0.16,3.39,4.78,   ,675.66,3.38亿,96.58%,16.04%,   ,1.98,10.62%,35.36%
医药行业,ST太安,2015-06-30,0.17,1.88,   ,7475.78万,25.13%,1.99%,1.97%,0.1000,445.10,0.40,51.95,   ,7361.85万,26.92%,5.22,   ,0.77,-0.35,3.39,5.37,   ,497.05,8.92亿,100.98%,14.36%,   ,1.88,8.64%,30.46%
医药行业,ST太安,2015-09-30,0.18,1.41,   ,1.36亿,-0.82%,4.49%,4.40%,0.1900,403.29,0.67,42.94,   ,1.69亿,25.43%,5.35,   ,0.91,-0.53,3.39,5.11,   ,446.23,16.09亿,100.85%,14.69%,   ,1.41,11.05%,31.06%
医药行业,ST太安,2015-12-31,0.31,0.46,   ,1.90亿,2.05%,4.94%,4.31%,0.2600,483.35,0.74,36.92,   ,1.86亿,3.86%,5.72,   ,0.87,-1.65,3.83,3.14,   ,520.27,23.72亿,93.19%,23.15%,   ,0.46,8.25%,28.44%
