,产权比率,保守速动比率,净利润同比增长率,净资产收益率,净资产收益率-摊薄,基本每股收益(元),存货周转天数(天),存货周转率(次),应收账款周转天数(天),扣非净利润同比增长率,每股净资产(元),每股未分配利润(元),每股经营现金流(元),每股资本公积金(元),流动比率,营业周期(天),营业总收入同比增长率,资产负债率,速动比率,销售净利率,销售毛利率,类别
124,1.0,1.36,0.209,0.051399999999999994,0.0501,0.225,215.52,0.42,41.26,0.204,3.81,1.72,0.11,0.83,2.14,256.78,0.1766,0.4989,1.36,0.1675,0.2838,1
1382,0.63,1.09,0.16670000000000001,0.0178,0.017,0.0539,61.25,1.47,30.12,0.1744,3.17,0.49,0.23,0.29,1.77,91.38,0.0832,0.3831,1.09,0.028399999999999998,0.1435,0
1273,1.11,1.24,0.3978,0.0518,0.050499999999999996,0.2331,51.96,1.73,103.32,0.32420000000000004,4.62,2.56,0.29,0.79,1.69,155.28,-0.0935,0.5284,1.32,0.0709,0.2891,0
1387,0.56,1.31,0.039599999999999996,0.0318,0.0326,0.1081,62.18,2.89,31.66,0.0366,3.32,0.67,0.21,0.29,2.0,93.84,0.0248,0.35509999999999997,1.31,0.03,0.1532,0
1404,0.85,1.4,0.5106,0.0781,0.0768,0.2585,61.67,4.38,28.03,0.4347,3.37,1.27,0.2,0.29,1.81,89.7,0.2995,0.457,1.4,0.0483,0.1794,0
682,0.88,1.6,0.9189,0.0929,0.08960000000000001,0.721,32.39,5.56,64.41,0.1294,6.81,4.89,0.87,0.19,1.98,96.8,0.09849999999999999,0.43329999999999996,1.6,0.0453,0.0755,0
565,1.72,0.72,1.3058,0.18539999999999998,0.1697,0.47,80.29,4.48,41.71,1.4702000000000002,2.79,1.14,0.51,0.57,1.25,122.0,0.395,0.6324000000000001,0.73,0.049100000000000005,0.3258,0
185,0.76,0.96,0.1531,0.08109999999999999,0.0781,0.594,105.53,1.71,22.54,0.1509,7.43,3.61,0.53,2.48,1.9,128.07,0.179,0.4329,0.96,0.0666,0.38789999999999997,0
343,2.55,0.9,0.3846,0.0405,0.0409,0.4,54.28,3.32,86.45,0.2591,8.55,3.09,-1.59,4.32,1.27,140.73,0.1409,0.6929000000000001,0.93,0.015700000000000002,0.08380000000000001,0
344,2.65,0.91,0.32049999999999995,0.0557,0.057,0.55,54.55,4.95,86.2,0.2614,8.37,3.21,-1.44,4.32,1.29,140.75,0.15109999999999998,0.6983,0.93,0.013999999999999999,0.08220000000000001,0
556,0.98,0.69,1.6639,0.1074,0.0969,0.16,78.13,4.61,32.85,0.7137,4.46,0.71,0.77,2.69,1.34,110.98,0.3782,0.4921,0.7,0.035,0.3788,0
1248,2.13,0.45,0.1816,0.067,0.0653,0.32,101.06,2.67,23.48,0.2384,4.91,1.69,0.43,2.11,0.96,124.54,0.4125,0.6759000000000001,0.45,0.0239,0.2869,0
1270,1.25,1.27,0.1545,0.0975,0.1065,0.4122,39.55,4.55,93.43,0.21359999999999998,3.84,1.8,0.21,0.79,1.63,132.98,0.115,0.5517,1.29,0.055999999999999994,0.2661,0
1452,2.11,0.41,0.1754,0.1072,0.1075,1.22,100.34,2.69,34.42,0.1374,11.39,5.58,2.44,4.52,0.85,134.76,0.16440000000000002,0.6598999999999999,0.41,0.053200000000000004,0.325,0
964,1.09,0.93,0.0728,0.040999999999999995,0.0436,0.09,66.95,5.38,48.08,2.4571,2.01,0.4,0.05,0.06,1.45,115.03,0.0281,0.5182,0.93,0.022799999999999997,0.20350000000000001,0
316,2.22,0.78,0.1778,0.045,0.0434,0.13,46.11,5.86,28.13,0.0793,3.07,0.72,-0.75,1.28,1.22,74.24,0.1981,0.6759999999999999,0.78,0.0084,0.059000000000000004,0
1507,2.85,0.81,0.0924,0.0909,0.0924,0.6,47.61,5.67,90.55,0.0842,6.36,3.22,-0.97,1.83,1.21,138.16,0.14029999999999998,0.735,0.81,0.0173,0.07690000000000001,0
